issue  date-guess  labs  vals  median|d|   p90|d|      max|d|   <=10ns  <=100ns  unparsed
  100  1996 May 1    47    183      404.0     7453.0     16198.0    0.05     0.22         0
  112  1997 May 1    46    176      426.5     5270.0     39892.0    0.09     0.28         0
  124  1998 May 1    48    186      267.5     3542.0      9213.0    0.05     0.26         0
  136  1999 May 1    49    187      282.0     3900.0     12542.0    0.11     0.36         0
  148  2000 May 1    49    186      178.5     4292.0     16421.0    0.05     0.38         0
  160  2001 May 1    49    180       95.0     4169.0     20560.0    0.15     0.52         0
  172  2002 May 1    50    187      122.0     3666.0      9457.0    0.13     0.49         0
  184  2003 MAY 1    53    344       93.8     6155.2     11936.7    0.14     0.51         0
  196  2004 MAY 1    55    372      130.6     7144.5     11014.8    0.15     0.48         0
  208  2005 MAY 1    57    386       87.4     2871.8     10237.5    0.13     0.53         0
  220  2006 MAY 1    58    381       42.8     4537.8     11046.3    0.20     0.62         0
  232  2007 MAY 1    59    412       38.9     1913.0     12009.7    0.25     0.63         0
  244  2008 MAY 1    65    422       34.6     1893.3      8860.6    0.26     0.63         0
  256  2009 MAY 1    68    455       31.8     2983.4     19539.1    0.24     0.67         0
  268  2010 MAY 0    69    463       24.6     3090.0     37363.7    0.33     0.73         0
  280  2011 MAY 1    69    468       14.4      940.6     49938.8    0.41     0.70         0
  292  2012 MAY 0    69    469       15.4     1189.3     65004.9    0.40     0.70         0
  304  2013 MAY 1    72    467       15.2      895.8     11839.6    0.40     0.66         0
  316  2014 MAY 0    73    495       14.1     1573.8     15084.1    0.45     0.70         0
  328  2015 MAY 0    73    487       19.2     2163.0     29981.9    0.38     0.71         0
  340  2016 MAY 0    75    493       15.3     1305.2     44877.3    0.43     0.67         0
  352  2017 MAY 1    77    527       13.6     1204.3     59861.0    0.44     0.69         0
  364  2018 MAY 0    80    503       10.6      969.2     67289.9    0.49     0.74         0
  376  2019 MAY 1    85    537        8.3      626.2     10825.8    0.55     0.77         0
  388  2020 MAY 0    82    540        8.1     1258.6     19232.8    0.53     0.77         0
  400  2021 MAY 1    84    554        8.9     1054.9     27196.8    0.52     0.72         0
  412  2022 MAY 1    85    577        8.4     1246.3     35526.8    0.52     0.72         0
  424  2023 MAY 1    86    589        4.7     1518.7     17862.1    0.59     0.74         0
  436  2024 MAY 1    88    582        6.2      737.4     12679.6    0.55     0.73         0
  448  2025 MAY 1    88    582        5.2     1410.8     21283.8    0.59     0.75         0
  460  2026 MAY 1    88    585        5.6     1440.5      8503.5    0.57     0.73         0
  463  2026 AUGUS    87    591        6.0     1469.8      7907.2    0.56     0.75         0
issue 463 labs 87 bands {'<1': 23, '1-10': 27, '10-100': 15, '100-1k': 11, '1k-10k': 9, '>10k': 0}
5-day transitions sampled: 11417 | >1000 ns: 12 (0.11%) | >5000 ns: 7 (0.06%)
