geo,nace_r2,year,activity,country
AL,B0510,2022,Mining of hard coal,Albania
AL,B0510,2023,Mining of hard coal,Albania
AL,B0520,2022,Mining of lignite,Albania
AL,B0520,2023,Mining of lignite,Albania
AL,B0610,2021,Extraction of crude petroleum,Albania
AL,B0610,2022,Extraction of crude petroleum,Albania
AL,B0610,2023,Extraction of crude petroleum,Albania
AL,B0620,2021,Extraction of natural gas,Albania
AL,B0620,2022,Extraction of natural gas,Albania
AL,B0620,2023,Extraction of natural gas,Albania
AL,B0811,2023,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Albania
AL,B0812,2021,"""Operation of gravel and sand pits; mining of clays and kaolin""",Albania
AL,B0812,2022,"""Operation of gravel and sand pits; mining of clays and kaolin""",Albania
AL,B0812,2023,"""Operation of gravel and sand pits; mining of clays and kaolin""",Albania
AL,B0891,2023,Mining of chemical and fertiliser minerals,Albania
AL,B0893,2021,Extraction of salt,Albania
AL,B0893,2022,Extraction of salt,Albania
AL,B0893,2023,Extraction of salt,Albania
AL,B0899,2023,Other mining and quarrying n.e.c.,Albania
AL,B0910,2021,Support activities for petroleum and natural gas extraction,Albania
AL,B0910,2022,Support activities for petroleum and natural gas extraction,Albania
AL,B0910,2023,Support activities for petroleum and natural gas extraction,Albania
AL,B0990,2021,Support activities for other mining and quarrying,Albania
AL,B0990,2022,Support activities for other mining and quarrying,Albania
AL,B0990,2023,Support activities for other mining and quarrying,Albania
AL,C1012,2021,Processing and preserving of poultry meat,Albania
AL,C1012,2022,Processing and preserving of poultry meat,Albania
AL,C1012,2023,Processing and preserving of poultry meat,Albania
AL,C1031,2023,Processing and preserving of potatoes,Albania
AL,C1051,2021,Operation of dairies and cheese making,Albania
AL,C1051,2022,Operation of dairies and cheese making,Albania
AL,C1051,2023,Operation of dairies and cheese making,Albania
AL,C1061,2021,Manufacture of grain mill products,Albania
AL,C1061,2022,Manufacture of grain mill products,Albania
AL,C1061,2023,Manufacture of grain mill products,Albania
AL,C1062,2023,Manufacture of starches and starch products,Albania
AL,C1081,2021,Manufacture of sugar,Albania
AL,C1081,2022,Manufacture of sugar,Albania
AL,C1081,2023,Manufacture of sugar,Albania
AL,C1086,2023,Manufacture of homogenised food preparations and dietetic food,Albania
AL,C1089,2023,Manufacture of other food products n.e.c.,Albania
AL,C1091,2021,Manufacture of prepared feeds for farm animals,Albania
AL,C1091,2022,Manufacture of prepared feeds for farm animals,Albania
AL,C1091,2023,Manufacture of prepared feeds for farm animals,Albania
AL,C1092,2023,Manufacture of prepared pet foods,Albania
AL,C1103,2021,Manufacture of cider and other fruit wines,Albania
AL,C1103,2022,Manufacture of cider and other fruit wines,Albania
AL,C1103,2023,Manufacture of cider and other fruit wines,Albania
AL,C1104,2023,Manufacture of other non-distilled fermented beverages,Albania
AL,C1105,2023,Manufacture of beer,Albania
